isrc,path,value
USWD11783601,Origin/Applicable Dates/Originally Released Date,11/22/17
USHR11737993,Anatomy/Rhythm & Time/Beat Placement,On The Beat
USHR11737993,Application/Playlist/Time,Decade
USHR11737993,Energy/Emotion,Attitude
USHR11737993,Energy/Sound Color,Full
USHR11737993,Performance/Instrument,Bass
USWD11467130,Energy/Emotion/Attitude,Cinematic
USWD10322246,Application/Playlist,Time
USWD10322246,Energy/Sound Color,Full
USWD10322246,Genre/R&B,Classic R&B
USWD10322246,Origin/Applicable Dates/Originally Released Date,6/23/97
USWD10423008,Application/Playlist,Time
USWD10423008,Energy/Intensity/Low,Low Intensity
USWD10423008,Energy/Intensity/Medium,Medium Intensity
USWD10423008,Lyrics/Lyric Language/Indo-European,English
USWD10423008,Lyrics/Lyric Technique,Imagery
USWD10423008,Lyrics/Lyric Theme/Love/Non-Romantic,Friendship
USWD10423008,Performance/Voice,Background Vocals
USHR11737936,Energy/Sound Color,Light
USHR11737936,Lyrics/Lyric Theme/Conflict,Stress
USHR11737936,Lyrics/Lyric Theme/Love,Obsession
USWD11677601,Anatomy/Harmony/Root,E
USWD11677601,Anatomy/Rhythm & Time/Rhythmic Feel,Swing Feel
USWD11677601,Performance/Instrument,Drum Machine
USWD11677601,Anatomy/Rhythm & Time/Tempo/Persistent Pulse,Steady
USWD11677601,Application/Playlist/Mood,Confident
USWD11677601,Energy/Emotion/Positive,Inspiring
USWD11677601,Performance/Ensemble/Ensemble Section,Wind Section
USWD11677601,Performance/Instrument,Synthesizer
USHR11536621,Energy/Emotion/Positive,Uplifting
USHR11737993,Performance/Ensemble/Ensemble Section,Wind Section
USWD11785324,Anatomy/Rhythm & Time/Meter,Simple
USWD11785324,Energy/Intensity/Medium,Medium Intensity
USWD11785324,Energy/Sound Color,Balanced
USWD11785324,Lyrics/Lyric Language,None
USWD11785324,Performance/Ensemble/Ensemble Timbre,Acoustic
USWD11467130,Lyrics/Lyric Theme/Love,Romantic
USWD11467130,Lyrics/Lyric Theme/Love/Obsession,Longing
USWD10322246,Lyrics/Lyric Language/Indo-European,English
USWD10322246,Lyrics/Lyric Theme/Feelings/Confidence,Ambition
USWD11569822,Energy/Emotion/Positive,Romantic
USWD11569822,Performance/Instrument,Strings
USHR11435914,Anatomy/Rhythm & Time/Meter,Simple
USWD10320942,Anatomy/Rhythm & Time/Meter/Simple,4
USWD10320942,Energy/Emotion/Positive,Happy
USWD10110145,Anatomy/Structure/Dynamic Shape,Dynamic
USWD10110145,Energy/Sound Color,Smooth
USWD10110145,Lyrics/Lyric Theme,Elements
USHR11435914,Lyrics/Lyric Theme/Spiritual,Spirit
USHR11435914,Performance/Ensemble/Ensemble Section/Choir,No Choir
USWD11992478,Performance/Ensemble/Ensemble Section/Choir,Has Choir
USWD11992478,Performance/Instrument,Drum Set
USWD11992478,Performance/Instrument/Strings/Harp,Concert Harp
USWD10936421,Anatomy/Rhythm & Time/Meter,Compound
USWD10936421,Energy/Emotion/Attitude,Sentimental
USWD11783601,Lyrics/Lyric Theme/Love/Romantic,Romance
USHR11737993,Energy/Emotion/Positive,Uplifting
USHR11737993,Lyrics/Lyric Theme,Objects
USHR11334762,Energy/Intensity,Medium
USHR11334762,Energy/Sound Color,Balanced
USHR11334762,Origin/Applicable Dates/Originally Released Date,7/16/13
USHR11637258,Anatomy/Rhythm & Time/Meter,Simple
USHR11637258,Anatomy/Rhythm & Time/Meter/Simple,4
USHR11637258,Anatomy/Structure/Structural Complexity,Simple Structure
USHR11637258,Application/Playlist,Time
USHR11637258,Energy/Emotion/Positive,Exciting
USHR11637258,Lyrics/Lyric Theme/Love/Breakup,Lost
USHR11637258,Origin/Applicable Dates/Originally Released Date,7/15/16
USHR11637258,Performance/Ensemble/Ensemble Section/String Section,No Strings
USWD10935875,Anatomy/Rhythm & Time/Meter/Simple,4
USHR11334762,Anatomy/Rhythm & Time/Tempo/Speed,Slow
USHR11737936,Anatomy/Rhythm & Time/BPM,62
USHR11737936,Anatomy/Rhythm & Time/Tempo/Persistent Pulse,Steady
USHR11738188,Anatomy/Rhythm & Time/Tempo/Persistent Pulse,Steady
USWD11569822,Genre,Pop
USWD11569822,Performance/Instrument,Wind
USWD11569822,Performance/Instrument/Strings,Viola
USWD11569822,Performance/Instrument/Strings/Harp,Concert Harp
USWD11569822,Performance/Instrument/Wind,Trumpet
USHR11738188,Application/Playlist/Time/Decade,2010s
USHR11738188,Energy/Emotion/Negative,Pained
USHR11738188,Energy/Sound Color,Balanced
USHR11738188,Origin/Relevant Location/North America,United States
USWD10935875,Anatomy/Structure/Dynamic Shape,Steady
USWD10935875,Energy/Emotion/Positive,Sweet
USWD10935875,Lyrics/Lyric Theme/Family,Family Member
USWD10935875,Lyrics/Lyric Theme/Feelings/Confidence,Strong
USWD10935875,Lyrics/Lyric Theme/Feelings/Gratitude,Connection
USWD10935875,Performance/Voice/Lead Vocals,Female
USWD10320942,Application/Version,Studio Version
USWD10320942,Lyrics/Lyric Theme/Feelings,Confidence
USWD10320942,Performance/Ensemble/Ensemble Timbre,Acoustic
USWD10320942,Performance/Instrument,Guitar
USHR11838412,Anatomy/Structure/Structural Complexity,Simple Structure
USHR11838412,Energy/Emotion/Positive,Exciting
USHR11838412,Genre/Pop/Alternative Pop,Indie Pop
USHR11838412,Performance/Instrument,Instrument Effect
USHR11536621,Application/Playlist/Activity,Working Out
USHR11536621,Energy/Intensity,High
USWD10322246,Application/Playlist,Theme
USWD10322246,Application/Version,Studio Version
USWD11783601,Anatomy/Rhythm & Time/Beat Placement,On The Beat
USWD11783601,Anatomy/Rhythm & Time/Rhythmic Feel,Swing Feel
USWD11783601,Origin/Relevant Location/North America,United States
USHR11737993,Performance/Instrument/Instrument Effect,Reverb
USHR11737993,Performance/Instrument/Instrument Effect,Filtering
USWD11467130,Anatomy/Rhythm & Time/Beat Placement,On The Beat
USWD11467130,Performance/Instrument/Strings,Bowed Strings
USWD11467130,Performance/Instrument/Strings,Violin
USWD11785324,Energy/Intensity/High,Highest Intensity
USWD10423008,Anatomy/Rhythm & Time/Tempo,Changing Pulse
USWD10423008,Application/Playlist/Time,Decade
USWD10423008,Energy/Sound Color,Warm
USWD10423008,Genre,Pop
USWD10423008,Performance/Ensemble/Ensemble Configuration,Orchestra
USWD10423008,Performance/Instrument/Percussion,Unpitched
USWD10423008,Performance/Voice/Lead Vocals,Male
USHR11737936,Lyrics/Lyric Language/Indo-European,English
USWD11677601,Application/Playlist,Theme
USWD11677601,Energy/Sound Color,Fluid
USHR11536621,Anatomy/Rhythm & Time/Meter/Simple,4
USHR11536621,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
USHR11536621,Performance/Ensemble/Ensemble Section/Wind Section,No Winds
USWD10322246,Anatomy/Rhythm & Time/Meter,Simple
USWD10322246,Anatomy/Rhythm & Time/Meter/Simple,4
USWD10322246,Performance/Ensemble/Ensemble Timbre,Electric
USWD10322246,Performance/Instrument,Drum Set
USHR11838412,Energy/Emotion,Positive
USHR11838412,Performance/Ensemble/Ensemble Section/Choir,No Choir
USHR11737993,Performance/Voice/Vocal Range,High Vocal Range
USWD11785324,Anatomy/Structure/Dynamic Shape,Dynamic
USWD11785324,Genre/Classical/20th Century,Late 20th Century
USWD11785324,Energy/Emotion/Positive,Optimistic
USWD11467130,Anatomy/Harmony/Mode,Major
USWD11467130,Anatomy/Harmony/Root,F
USWD11569822,Anatomy/Harmony/Mode,Major
USWD11569822,Anatomy/Harmony/Root,E
USWD11569822,Anatomy/Structure/Dynamic Shape,Dynamic
USWD11569822,Lyrics/Lyric Theme/Feelings/Gratitude,Possibility
USHR11435914,Anatomy/Harmony/Root,Ab/G#
USHR11435914,Anatomy/Rhythm & Time/Meter/Simple,4
USHR11435914,Performance/Instrument,Drum Machine
USWD10320942,Anatomy/Rhythm & Time/Meter,Simple
USWD10110145,Anatomy/Arrangement,Voice & Music
USWD10110145,Anatomy/Rhythm & Time/Tempo/Speed,Slow
USWD10110145,Application/Playlist/Theme,Soundtrack
USWD10110145,Genre/Rock,Soft Rock
USWD10110145,Lyrics/Lyric Theme,Feelings
USWD10110145,Performance/Ensemble/Ensemble Section,Choir
USHR11435914,Energy/Sound Color,Full
USHR11435914,Lyrics/Lyric Mood,Lonely
USHR11435914,Lyrics/Lyric Theme/Spiritual/Idea,Faith
USHR11435914,Performance/Instrument,Guitar
USWD11992478,Energy/Emotion/Positive,Sweet
USWD11992478,Lyrics/Lyric Theme/Motion/Action,Cry
USWD11992478,Performance/Instrument/Instrument Effect,Reverb
USWD10936421,Application/Function,Media Music
USWD10936421,Application/Playlist/Time,Decade
USWD10936421,Energy/Emotion/Positive,Sweet
USWD10936421,Energy/Intensity,Low
USWD10936421,Origin/Relevant Location,North America
USWD10936421,Performance/Instrument/Bass,Upright Bass
USWD10936421,Performance/Voice/Lead Vocals,None
USHR11334762,Application/Playlist/Activity,Dating
USHR11334762,Performance/Instrument,Drum Machine
USHR11334762,Performance/Instrument/Synthesizer/Synthesizer Part,Synth FX
USHR11334762,Performance/Performer/Intensity,Medium
USHR11637258,Application/Playlist/Mood,Confident
USHR11637258,Energy/Emotion/Positive,Uplifting
USHR11637258,Lyrics/Lyric Theme/Love/Breakup,Moving On
USWD11569822,Anatomy/Rhythm & Time/Rhythmic Feel,Rubato
USWD11569822,Performance/Performer/Intensity,Medium
USHR11738188,Energy/Sound Color,Metallic
USHR11738188,Performance/Voice/Vocal Technique,Scream
USWD10935875,Application/Playlist,Time
USWD10935875,Application/Version,Studio Version
USWD10935875,Lyrics/Lyric Theme,Love
USWD10935875,Performance/Instrument/Strings,Bowed Strings
USWD10935875,Performance/Voice/Vocal Range/High Vocal Range,Mezzo-soprano Voice
USWD10320942,Energy/Sound Color,Crisp
USWD10320942,Lyrics/Lyric Theme,Feelings
USWD10320942,Lyrics/Lyric Theme/Feelings/Confidence,Support
USWD10320942,Performance/Ensemble/Ensemble Section/Wind Section,Has Winds
USHR11838412,Genre/Pop/Alternative Pop,Pop Rock
USHR11838412,Lyrics/Lyric Theme/Conflict/Shame,Identity Crisis
USHR11838412,Performance/Instrument/Synthesizer/Synthesizer Part,Synth FX
USHR11838412,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Pad
USHR11536621,Energy/Emotion/Attitude,Anthemic
USHR11536621,Origin/Applicable Dates/Originally Released Date,7/1/15
USWD11783601,Energy/Emotion/Attitude,Confident
USWD11783601,Origin/Relevant Location,North America
USWD11783601,Performance/Voice,Background Vocals
USWD11467130,Origin/Applicable Dates/Originally Released Date,1/26/14
USWD10322246,Energy/Sound Color,Warm
USWD10322246,Origin/Relevant Location/North America,United States
USHR11334762,Energy/Emotion/Positive,Optimistic
USWD10423008,Anatomy/Arrangement,Voice & Music
USWD10423008,Anatomy/Rhythm & Time/Rhythmic Feel,Swing Feel
USWD10423008,Energy/Emotion/Attitude,Playful
USHR11737936,Application/Playlist/Mood,Dark
USHR11737936,Energy/Sound Color,Airy
USWD11677601,Energy/Emotion,Positive
USWD11677601,Energy/Intensity,Medium
USWD11677601,Anatomy/Rhythm & Time/Tempo/Speed,Medium Fast
USWD11677601,Anatomy/Structure/Form,Song Form
USWD11677601,Application/Playlist/Activity,Running
USWD11677601,Genre,Pop
USWD11677601,Lyrics/Lyric Language/Indo-European,English
USWD11677601,Lyrics/Lyric Theme/Feelings/Intention,Choices
USWD11677601,Performance/Instrument,Drum Set
USWD11677601,Performance/Voice,Background Vocals
USHR11536621,Performance/Instrument/Guitar,Electric Guitar
USHR11838412,Performance/Ensemble/Ensemble Section,Choir
USHR11838412,Performance/Instrument,Drum Machine
USHR11838412,Performance/Instrument,Percussion
USHR11737993,Performance/Instrument,Drum Set
USWD11785324,Anatomy/Structure/Form,Classical Form
